Feature 	 Val_totalreads 	 Coq_totalreads
PiuraChilensis_v1_contig_10288 	 1 	 2
PiuraChilensis_v1_contig_10289 	 5 	 4
PiuraChilensis_v1_contig_1029 	 6 	 21
PiuraChilensis_v1_contig_10290 	 3 	 12
PiuraChilensis_v1_contig_10291 	 34 	 28
PiuraChilensis_v1_contig_10292 	 0 	 2
PiuraChilensis_v1_contig_10293 	 41 	 11
PiuraChilensis_v1_contig_10294 	 10 	 17
PiuraChilensis_v1_contig_10295 	 3 	 9
PiuraChilensis_v1_contig_10296 	 2 	 6
PiuraChilensis_v1_contig_10297 	 6 	 11
PiuraChilensis_v1_contig_10298 	 0 	 2
PiuraChilensis_v1_contig_10299 	 7 	 12
PiuraChilensis_v1_contig_103 	 108 	 95
PiuraChilensis_v1_contig_1030 	 48 	 87
PiuraChilensis_v1_contig_10300 	 8 	 3
PiuraChilensis_v1_contig_10301 	 3 	 12
PiuraChilensis_v1_contig_10302 	 1 	 3
PiuraChilensis_v1_contig_10303 	 8 	 10
PiuraChilensis_v1_contig_10304 	 7 	 7
PiuraChilensis_v1_contig_10305 	 3 	 6
PiuraChilensis_v1_contig_10306 	 25 	 23
PiuraChilensis_v1_contig_10307 	 55 	 23
PiuraChilensis_v1_contig_10308 	 17 	 17
PiuraChilensis_v1_contig_10309 	 1 	 5
PiuraChilensis_v1_contig_1031 	 15 	 8
PiuraChilensis_v1_contig_10310 	 6 	 4
PiuraChilensis_v1_contig_10311 	 7 	 6
PiuraChilensis_v1_contig_10312 	 10 	 15
PiuraChilensis_v1_contig_10313 	 17 	 29
PiuraChilensis_v1_contig_10314 	 0 	 10
PiuraChilensis_v1_contig_10315 	 8 	 4
PiuraChilensis_v1_contig_10316 	 11 	 6
PiuraChilensis_v1_contig_10317 	 10 	 12
PiuraChilensis_v1_contig_10318 	 14 	 7
PiuraChilensis_v1_contig_10319 	 1 	 3
PiuraChilensis_v1_contig_1032 	 18 	 11
PiuraChilensis_v1_contig_10320 	 14 	 14
PiuraChilensis_v1_contig_10321 	 2 	 3
PiuraChilensis_v1_contig_10322 	 31 	 31
PiuraChilensis_v1_contig_10323 	 7 	 7
PiuraChilensis_v1_contig_10324 	 16 	 17
PiuraChilensis_v1_contig_10325 	 3 	 1
PiuraChilensis_v1_contig_10326 	 4 	 4
PiuraChilensis_v1_contig_10327 	 3 	 3
PiuraChilensis_v1_contig_10328 	 2 	 3
PiuraChilensis_v1_contig_10329 	 2 	 5
PiuraChilensis_v1_contig_1033 	 15 	 80
PiuraChilensis_v1_contig_10330 	 2 	 4
PiuraChilensis_v1_contig_10331 	 3 	 3
PiuraChilensis_v1_contig_10332 	 14 	 11
PiuraChilensis_v1_contig_10333 	 5 	 10
PiuraChilensis_v1_contig_10334 	 9 	 8
PiuraChilensis_v1_contig_10335 	 20 	 5
PiuraChilensis_v1_contig_10336 	 6 	 4
PiuraChilensis_v1_contig_10337 	 14 	 9
PiuraChilensis_v1_contig_10338 	 1 	 13
PiuraChilensis_v1_contig_10339 	 1 	 0
PiuraChilensis_v1_contig_1034 	 107 	 116
PiuraChilensis_v1_contig_10340 	 8 	 9
PiuraChilensis_v1_contig_10341 	 6 	 5
PiuraChilensis_v1_contig_10342 	 15 	 4
PiuraChilensis_v1_contig_10343 	 7 	 7
PiuraChilensis_v1_contig_10344 	 4 	 5
PiuraChilensis_v1_contig_10345 	 2 	 2
PiuraChilensis_v1_contig_10346 	 7 	 9
PiuraChilensis_v1_contig_10347 	 2 	 5
PiuraChilensis_v1_contig_10348 	 1 	 4
PiuraChilensis_v1_contig_10349 	 4 	 2
PiuraChilensis_v1_contig_1035 	 25 	 23
PiuraChilensis_v1_contig_10350 	 4 	 5
